  6.0000000e+000  6.0000000e+000
  7.0000000e+000  1.1000000e+001
  2.0000000e+001  1.2000000e+001
  1.7000000e+001  8.0000000e+000
  5.8000000e+001  6.9000000e+001
  5.2000000e+001  7.1000000e+001
  1.4100000e+002  1.8100000e+002
  1.4200000e+002  1.7900000e+002
  9.9000000e+001  1.1500000e+002
  5.0000000e+001  5.4000000e+001
  2.7000000e+001  1.7000000e+001
  4.8000000e+001  3.2000000e+001
  3.5000000e+001  3.2000000e+001
  3.2000000e+001  2.1000000e+001
             NaN  4.9000000e+001
  7.4000000e+001  1.6000000e+001
  9.4000000e+001  9.9000000e+001
  1.0000000e+002  1.6300000e+002
  8.7000000e+001  9.8000000e+001
  1.7400000e+002  2.7200000e+002
  8.9000000e+001  8.5000000e+001
  4.6000000e+001  4.3000000e+001
  5.2000000e+001  3.9000000e+001
  4.7000000e+001  4.1000000e+001
  5.7000000e+001  5.1000000e+001
  6.2000000e+001  5.2000000e+001
  6.1000000e+001  7.4000000e+001
  6.3000000e+001  6.0000000e+001
  1.0300000e+002  1.3500000e+002
  1.0400000e+002  1.4700000e+002
  1.9100000e+002  2.6300000e+002
  1.9200000e+002  2.6700000e+002
  1.4600000e+002  2.1100000e+002
  9.5000000e+001  1.5800000e+002
  7.3000000e+001  1.2600000e+002
  9.5000000e+001  1.5400000e+002
  8.7000000e+001  1.6400000e+002
  8.3000000e+001  1.6900000e+002
  1.0600000e+002  2.0700000e+002
             NaN  1.8500000e+002
  1.4100000e+002  2.8400000e+002
  1.4800000e+002  3.5600000e+002
  1.3800000e+002  3.1700000e+002
  2.2900000e+002  4.9100000e+002
  1.4300000e+002  3.2800000e+002
  9.9000000e+001  2.8700000e+002
  9.4000000e+001  3.0900000e+002
  1.0300000e+002  3.2200000e+002
